date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-08-28,06:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.8,85,0.0,5.7,3,Clouds generally forming or developing
2024-08-28,06:00:00,Pahang,Kuantan,3.8167,103.3333,26.0,90,0.0,14.0,3,Clouds generally forming or developing
2024-08-28,06:00:00,Pulau Pinang,George Town,5.4145,100.3292,25.9,89,0.1,5.0,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,06:00:00,Labuan,Labuan,5.2803,115.2475,26.4,92,0.0,3.1,3,Clouds generally forming or developing
2024-08-28,05:00:00,Johor,Muar,2.05,102.56,26.8,82,0.0,12.0,3,Clouds generally forming or developing
2024-08-28,05:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.2,92,0.0,4.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,05:00:00,Selangor,Klang,3.0333,101.45,23.9,91,0.0,6.5,3,Clouds generally forming or developing
2024-08-28,05:00:00,Sabah,Sandakan,5.8388,118.1173,24.6,99,0.0,4.6,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,05:00:00,Kedah,Alor Setar,6.1167,100.3667,25.6,90,0.0,7.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,05:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,25.9,89,0.0,6.5,80,"Rain shower(s), slight"
2024-08-28,05:00:00,Sarawak,Kuching,1.5397,110.3542,24.5,97,0.0,2.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,05:00:00,Johor,Johor Bahru,1.4556,103.7611,25.4,91,0.0,5.7,80,"Rain shower(s), slight"
2024-08-28,05:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.7,96,0.0,0.5,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,05:00:00,Pulau Pinang,George Town,5.4145,100.3292,25.8,89,0.0,6.5,80,"Rain shower(s), slight"
2024-08-28,05:00:00,Sarawak,Miri,4.4028,113.9933,26.6,93,0.0,3.9,3,Clouds generally forming or developing
2024-08-28,05:00:00,Sarawak,Sibu,2.3,111.8167,24.0,98,0.0,2.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,05:00:00,Perak,Taiping,4.85,100.7333,24.5,95,0.5,6.3,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,05:00:00,Sabah,Lahad Datu,5.03,118.34,25.7,95,0.0,2.2,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,05:00:00,Perlis,Kangar,6.4333,100.2,25.5,95,0.0,7.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,05:00:00,Perak,Ipoh,4.6,101.07,24.1,94,0.1,2.6,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,05:00:00,Sarawak,Bintulu,3.17,113.03,25.6,93,0.0,3.6,3,Clouds generally forming or developing
2024-08-28,05:00:00,Labuan,Labuan,5.2803,115.2475,26.2,94,0.0,2.6,3,Clouds generally forming or developing
2024-08-28,05:00:00,Melaka,Melaka,2.1889,102.2511,25.6,88,0.0,10.0,3,Clouds generally forming or developing
2024-08-28,05:00:00,Pahang,Kuala Lipis,4.184,102.042,24.3,90,0.0,2.2,3,Clouds generally forming or developing
2024-08-28,05:00:00,Selangor,Petaling Jaya,3.1073,101.6067,24.0,87,0.0,5.5,3,Clouds generally forming or developing
2024-08-28,05:00:00,Johor,Batu Pahat,1.85,102.93,25.4,93,0.0,3.7,80,"Rain shower(s), slight"
2024-08-28,05:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,24.7,81,0.0,2.5,3,Clouds generally forming or developing
2024-08-28,05:00:00,Johor,Kluang,2.0336,103.3194,24.4,95,0.0,2.4,80,"Rain shower(s), slight"
2024-08-28,05:00:00,Sabah,Tawau,4.2448,117.8911,26.2,90,0.0,4.3,80,"Rain shower(s), slight"
2024-08-28,05:00:00,Kedah,Sungai Petani,5.65,100.48,24.7,95,0.0,4.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,05:00:00,Selangor,Shah Alam,3.0833,101.5333,24.0,87,0.0,5.5,3,Clouds generally forming or developing
2024-08-28,05:00:00,Terengganu,Cukai,4.2332,103.4479,26.3,85,0.0,10.0,3,Clouds generally forming or developing
2024-08-28,05:00:00,Putrajaya,Putrajaya,2.93,101.69,23.5,94,0.0,2.5,3,Clouds generally forming or developing
2024-08-28,05:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.8,87,0.0,5.2,3,Clouds generally forming or developing
2024-08-28,05:00:00,Perak,Teluk Intan,4.0259,101.0213,23.8,97,0.0,7.6,3,Clouds generally forming or developing
2024-08-28,05:00:00,Pahang,Kuantan,3.8167,103.3333,26.0,90,0.0,14.3,3,Clouds generally forming or developing
2024-08-28,05:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.8,95,0.0,4.7,3,Clouds generally forming or developing
2024-08-28,05:00:00,Pahang,Raub,3.7931,101.8569,24.4,80,0.0,1.8,3,Clouds generally forming or developing
2024-08-28,05:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,23.4,95,0.0,3.4,3,Clouds generally forming or developing
2024-08-28,04:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.8,88,0.0,4.5,3,Clouds generally forming or developing
2024-08-28,04:00:00,Perak,Taiping,4.85,100.7333,24.6,94,0.5,5.1,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,04:00:00,Perlis,Kangar,6.4333,100.2,25.5,96,0.0,6.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,04:00:00,Selangor,Shah Alam,3.0833,101.5333,24.0,90,0.0,7.0,3,Clouds generally forming or developing
2024-08-28,04:00:00,Kedah,Alor Setar,6.1167,100.3667,25.5,92,0.0,6.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,04:00:00,Johor,Kluang,2.0336,103.3194,24.6,94,0.0,1.0,3,Clouds generally forming or developing
2024-08-28,04:00:00,Pahang,Raub,3.7931,101.8569,24.4,81,0.0,3.0,3,Clouds generally forming or developing
2024-08-28,04:00:00,Perak,Teluk Intan,4.0259,101.0213,23.8,98,0.2,5.6,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,04:00:00,Sarawak,Miri,4.4028,113.9933,27.0,91,0.0,3.4,80,"Rain shower(s), slight"
2024-08-28,04:00:00,Melaka,Melaka,2.1889,102.2511,25.9,86,0.0,10.4,3,Clouds generally forming or developing
2024-08-28,04:00:00,Kedah,Sungai Petani,5.65,100.48,24.6,95,0.0,3.6,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,04:00:00,Selangor,Klang,3.0333,101.45,24.2,91,0.0,7.2,3,Clouds generally forming or developing
2024-08-28,04:00:00,Johor,Johor Bahru,1.4556,103.7611,25.9,92,0.0,5.6,80,"Rain shower(s), slight"
2024-08-28,04:00:00,Terengganu,Cukai,4.2332,103.4479,26.4,85,0.0,10.1,3,Clouds generally forming or developing
2024-08-28,04:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,24.6,84,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,04:00:00,Pulau Pinang,George Town,5.4145,100.3292,26.0,90,0.0,7.6,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,04:00:00,Pahang,Kuantan,3.8167,103.3333,26.1,89,0.0,14.4,3,Clouds generally forming or developing
2024-08-28,04:00:00,Perak,Ipoh,4.6,101.07,24.0,95,0.9,3.3,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,04:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,26.0,90,0.0,7.6,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,04:00:00,Sarawak,Sibu,2.3,111.8167,24.3,97,0.0,2.6,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,04:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.1,92,0.0,5.2,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,04:00:00,Pahang,Kuala Lipis,4.184,102.042,24.9,88,0.0,1.9,3,Clouds generally forming or developing
2024-08-28,04:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.8,96,0.0,0.8,3,Clouds generally forming or developing
2024-08-28,04:00:00,Sarawak,Kuching,1.5397,110.3542,24.6,97,0.0,2.4,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,04:00:00,Sarawak,Bintulu,3.17,113.03,25.8,94,0.0,3.6,3,Clouds generally forming or developing
2024-08-28,04:00:00,Johor,Muar,2.05,102.56,26.6,85,0.0,11.3,80,"Rain shower(s), slight"
2024-08-28,04:00:00,Johor,Batu Pahat,1.85,102.93,25.4,93,0.0,5.5,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,04:00:00,Selangor,Petaling Jaya,3.1073,101.6067,24.0,90,0.0,7.0,3,Clouds generally forming or developing
2024-08-28,04:00:00,Sabah,Lahad Datu,5.03,118.34,25.8,95,0.0,2.9,2,State of sky on the whole unchanged
2024-08-28,04:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,23.7,95,0.0,4.8,3,Clouds generally forming or developing
2024-08-28,04:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.8,95,0.0,4.6,3,Clouds generally forming or developing
2024-08-28,04:00:00,Putrajaya,Putrajaya,2.93,101.69,23.8,94,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,04:00:00,Labuan,Labuan,5.2803,115.2475,26.0,96,0.0,2.0,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,04:00:00,Sabah,Tawau,4.2448,117.8911,26.2,90,0.0,4.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,04:00:00,Sabah,Sandakan,5.8388,118.1173,24.7,98,0.0,4.5,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,03:00:00,Kedah,Alor Setar,6.1167,100.3667,25.4,93,0.0,5.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,03:00:00,Kedah,Sungai Petani,5.65,100.48,24.7,95,0.0,4.0,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,03:00:00,Pulau Pinang,George Town,5.4145,100.3292,26.0,90,0.0,7.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,03:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.1,92,0.0,4.0,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,03:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,26.1,90,0.0,7.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,03:00:00,Putrajaya,Putrajaya,2.93,101.69,24.1,93,0.0,4.3,80,"Rain shower(s), slight"
2024-08-28,03:00:00,Johor,Muar,2.05,102.56,27.0,84,0.0,11.5,80,"Rain shower(s), slight"
2024-08-28,03:00:00,Selangor,Klang,3.0333,101.45,24.5,93,0.0,7.2,3,Clouds generally forming or developing
2024-08-28,03:00:00,Johor,Batu Pahat,1.85,102.93,25.3,95,0.0,4.5,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,03:00:00,Sabah,Tawau,4.2448,117.8911,26.4,89,0.0,3.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,03:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,24.6,88,0.0,3.6,3,Clouds generally forming or developing
2024-08-28,03:00:00,Sabah,Lahad Datu,5.03,118.34,25.9,94,0.0,2.9,80,"Rain shower(s), slight"
2024-08-28,03:00:00,Perlis,Kangar,6.4333,100.2,25.4,96,0.0,5.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,03:00:00,Perak,Taiping,4.85,100.7333,24.9,92,0.3,2.8,80,"Rain shower(s), slight"
2024-08-28,03:00:00,Pahang,Kuala Lipis,4.184,102.042,25.5,87,0.0,1.3,3,Clouds generally forming or developing
2024-08-28,03:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,25.0,95,0.0,1.0,3,Clouds generally forming or developing
2024-08-28,03:00:00,Sarawak,Kuching,1.5397,110.3542,24.8,97,0.0,2.6,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,03:00:00,Johor,Johor Bahru,1.4556,103.7611,26.2,93,0.0,3.9,3,Clouds generally forming or developing
2024-08-28,03:00:00,Johor,Kluang,2.0336,103.3194,24.7,95,0.0,0.8,3,Clouds generally forming or developing
2024-08-28,03:00:00,Sarawak,Miri,4.4028,113.9933,27.4,91,0.0,3.2,3,Clouds generally forming or developing
2024-08-28,03:00:00,Kelantan,Kota Bharu,6.1333,102.25,25.0,96,0.0,4.7,3,Clouds generally forming or developing
2024-08-28,03:00:00,Terengganu,Cukai,4.2332,103.4479,26.6,84,0.0,10.5,3,Clouds generally forming or developing
2024-08-28,03:00:00,Selangor,Shah Alam,3.0833,101.5333,24.3,93,0.0,7.0,3,Clouds generally forming or developing
2024-08-28,03:00:00,Pahang,Raub,3.7931,101.8569,24.7,82,0.0,3.1,3,Clouds generally forming or developing
2024-08-28,03:00:00,Pahang,Kuantan,3.8167,103.3333,26.4,88,0.0,14.3,3,Clouds generally forming or developing
2024-08-28,03:00:00,Melaka,Melaka,2.1889,102.2511,26.2,86,0.0,9.9,3,Clouds generally forming or developing
2024-08-28,03:00:00,Selangor,Petaling Jaya,3.1073,101.6067,24.3,93,0.0,7.0,3,Clouds generally forming or developing
2024-08-28,03:00:00,Sabah,Sandakan,5.8388,118.1173,24.6,98,0.0,3.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,03:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,23.8,96,0.0,5.6,3,Clouds generally forming or developing
2024-08-28,03:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.7,89,0.0,4.3,3,Clouds generally forming or developing
2024-08-28,03:00:00,Labuan,Labuan,5.2803,115.2475,26.0,96,0.0,2.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,03:00:00,Perak,Ipoh,4.6,101.07,24.0,96,1.8,5.1,63,"Rain, not freezing, continuous moderate at time of observation"
2024-08-28,03:00:00,Sarawak,Sibu,2.3,111.8167,24.6,96,0.0,2.6,3,Clouds generally forming or developing
2024-08-28,03:00:00,Perak,Teluk Intan,4.0259,101.0213,23.8,98,0.2,3.4,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,03:00:00,Sarawak,Bintulu,3.17,113.03,26.1,94,0.0,4.0,3,Clouds generally forming or developing
2024-08-28,02:00:00,Johor,Kluang,2.0336,103.3194,24.8,94,0.0,2.2,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,25.1,94,0.0,1.8,3,Clouds generally forming or developing
2024-08-28,02:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,24.9,93,0.0,3.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Sarawak,Bintulu,3.17,113.03,26.4,94,0.0,4.1,3,Clouds generally forming or developing
2024-08-28,02:00:00,Pulau Pinang,George Town,5.4145,100.3292,25.8,89,0.0,4.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Labuan,Labuan,5.2803,115.2475,25.9,96,0.0,2.2,3,Clouds generally forming or developing
2024-08-28,02:00:00,Pahang,Kuantan,3.8167,103.3333,26.3,88,0.0,13.2,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Putrajaya,Putrajaya,2.93,101.69,24.1,94,0.0,5.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,23.9,96,0.0,6.6,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Sabah,Sandakan,5.8388,118.1173,24.7,97,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,02:00:00,Kedah,Sungai Petani,5.65,100.48,24.6,96,0.0,2.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Kedah,Alor Setar,6.1167,100.3667,25.3,94,0.0,4.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Melaka,Melaka,2.1889,102.2511,26.3,86,0.0,9.3,3,Clouds generally forming or developing
2024-08-28,02:00:00,Sabah,Tawau,4.2448,117.8911,26.5,89,0.0,1.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.8,91,0.0,4.7,3,Clouds generally forming or developing
2024-08-28,02:00:00,Perak,Taiping,4.85,100.7333,25.0,93,0.5,2.5,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Selangor,Klang,3.0333,101.45,24.6,92,0.0,6.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Sarawak,Sibu,2.3,111.8167,24.8,96,0.0,2.2,3,Clouds generally forming or developing
2024-08-28,02:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,25.9,89,0.0,4.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Perlis,Kangar,6.4333,100.2,25.2,97,0.0,4.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Selangor,Petaling Jaya,3.1073,101.6067,24.3,94,0.0,7.1,80,"Rain shower(s), slight"
2024-08-28,02:00:00,Kelantan,Kota Bharu,6.1333,102.25,25.1,97,0.2,5.1,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,02:00:00,Johor,Batu Pahat,1.85,102.93,25.6,94,0.0,3.1,80,"Rain shower(s), slight"
2024-08-28,02:00:00,Pahang,Raub,3.7931,101.8569,24.9,83,0.0,3.4,3,Clouds generally forming or developing
2024-08-28,02:00:00,Pahang,Kuala Lipis,4.184,102.042,25.8,86,0.0,2.2,3,Clouds generally forming or developing
2024-08-28,02:00:00,Johor,Muar,2.05,102.56,27.2,85,0.0,9.4,80,"Rain shower(s), slight"
2024-08-28,02:00:00,Terengganu,Cukai,4.2332,103.4479,26.7,85,0.0,9.9,3,Clouds generally forming or developing
2024-08-28,02:00:00,Sarawak,Kuching,1.5397,110.3542,24.9,96,0.0,2.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,02:00:00,Selangor,Shah Alam,3.0833,101.5333,24.3,94,0.0,7.1,80,"Rain shower(s), slight"
2024-08-28,02:00:00,Sabah,Lahad Datu,5.03,118.34,26.0,92,0.0,2.9,80,"Rain shower(s), slight"
2024-08-28,02:00:00,Sarawak,Miri,4.4028,113.9933,27.7,88,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,02:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,24.6,90,0.0,4.2,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,02:00:00,Johor,Johor Bahru,1.4556,103.7611,26.3,92,0.0,4.9,80,"Rain shower(s), slight"
2024-08-28,02:00:00,Perak,Ipoh,4.6,101.07,24.3,96,6.7,5.9,65,"Rain, not freezing, continuous heavy at time of observation"
2024-08-28,02:00:00,Perak,Teluk Intan,4.0259,101.0213,23.9,97,1.6,0.4,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,01:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,26.0,93,0.0,1.8,3,Clouds generally forming or developing
2024-08-28,01:00:00,Sabah,Kota Kinabalu,5.975,116.0725,27.1,92,0.0,4.6,3,Clouds generally forming or developing
2024-08-28,01:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,26.0,92,0.0,2.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,01:00:00,Sabah,Tawau,4.2448,117.8911,27.2,88,0.0,1.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,01:00:00,Sarawak,Bintulu,3.17,113.03,26.9,94,0.0,4.3,3,Clouds generally forming or developing
2024-08-28,01:00:00,Kedah,Alor Setar,6.1167,100.3667,26.3,92,0.0,2.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
